"","algo","approach","n","n.cova","event.prob","ttm.prob","mh_pval","clog_coef","clog_pval"
"clog_mhl1.A1.4.26.3.0.1.60","A1","mhl",20000,4,1,0.1,0.638163195084118,-0.117783035112988,0.731749689983091
"clog_mhl1.A1.4.26.3.0.1.61","A1","mhl",20000,4,1,0.1,0.0385499358717709,0.606135803256891,0.0912173483318066
"clog_mhl1.A1.4.26.3.0.1.62","A1","mhl",20000,4,1,0.1,0.975069898121547,-0.980829253011709,0.0404733137965377
"clog_mhl1.A1.4.26.3.0.1.63","A1","mhl",20000,4,1,0.1,0.426341842167321,0.0800427076370703,0.841522329381647
"clog_mhl1.A1.4.26.3.0.1.64","A1","mhl",20000,4,1,0.1,0.0416322583317752,0.635988766092701,0.122880296063644
"clog_mhl1.A1.4.26.3.0.1.65","A1","mhl",20000,4,1,0.1,0.432886187496311,0.0606246218112159,0.861825381138158
"clog_mhl1.A1.4.26.3.0.1.66","A1","mhl",20000,4,1,0.1,0.704993056418327,-0.194156014440958,0.590597399111663
"clog_mhl1.A1.4.26.3.0.1.67","A1","mhl",20000,4,1,0.1,0.899587438652427,-0.619039207981312,0.186682897588507
"clog_mhl1.A1.4.26.3.0.1.68","A1","mhl",20000,4,1,0.1,0.576305170156643,-0.0800427076370705,0.841522329381647
"clog_mhl1.A1.4.26.3.0.1.69","A1","mhl",20000,4,1,0.1,0.767395590773929,-0.310154928303823,0.434608975055544
"clog_mhl1.A1.4.26.3.0.1.70","A1","mhl",20000,4,1,0.1,0.111508734973307,0.530628251016774,0.183032835709072
"clog_mhl1.A1.4.26.3.0.1.71","A1","mhl",20000,4,1,0.1,0.652556698813763,-0.167054084663166,0.683439627231701
"clog_mhl1.A1.4.26.3.0.1.72","A1","mhl",20000,4,1,0.1,0.630558659818236,-0.111225634746148,0.73901232315695
"clog_mhl1.A1.4.26.3.0.1.73","A1","mhl",20000,4,1,0.1,0.941667767609488,-0.587786664701256,0.13614242851104
"clog_mhl1.A1.4.26.3.0.1.74","A1","mhl",20000,4,1,0.1,0.5,0,1
"clog_mhl1.A1.4.26.3.0.1.75","A1","mhl",20000,4,1,0.1,0.736455371567231,-0.22314355131421,0.505867882196818
"clog_mhl1.A1.4.26.3.0.1.76","A1","mhl",20000,4,1,0.1,0.958367741668225,-0.693147178402484,0.0895347727601971
"clog_mhl1.A1.4.26.3.0.1.77","A1","mhl",20000,4,1,0.1,0.246358338613544,0.154150679827258,0.631291986483812
"clog_mhl1.A1.4.26.3.0.1.78","A1","mhl",20000,4,1,0.1,0.880341729389252,-0.559615787836945,0.20671013378133
"clog_mhl1.A1.4.26.3.0.1.79","A1","mhl",20000,4,1,0.1,0.211669820791222,0.211309093667207,0.517191932355125
"clog_mhl1.A1.4.26.3.0.1.80","A1","mhl",20000,4,1,0.1,0.848258167987579,-0.182321556793955,0.602011296844158
"clog_mhl1.A1.4.26.3.0.1.81","A1","mhl",20000,4,1,0.1,0.0968232156346103,0.492476485082534,0.198155699103266
"clog_mhl1.A1.4.26.3.0.1.82","A1","mhl",20000,4,1,0.1,0.5,0,1
"clog_mhl1.A1.4.26.3.0.1.83","A1","mhl",20000,4,1,0.1,0.67634260780574,-0.154150679827258,0.631291986483812
"clog_mhl1.A1.4.26.3.0.1.84","A1","mhl",20000,4,1,0.1,0.165195024424397,0.405465108107288,0.276605237854056
"clog_mhl1.A1.4.26.3.0.1.85","A1","mhl",20000,4,1,0.1,0.815414291833654,-0.348306694268123,0.355590512469624
"clog_mhl1.A1.4.26.3.0.1.86","A1","mhl",20000,4,1,0.1,0.205539889361658,0.305381649551169,0.385933600839068
"clog_mhl1.A1.4.26.3.0.1.87","A1","mhl",20000,4,1,0.1,0.211669820791222,0.325422400434594,0.371281131359037
"clog_mhl1.A1.4.26.3.0.1.88","A1","mhl",20000,4,1,0.1,0.352728493055637,0.154150679827259,0.69517334211627
"clog_mhl1.A1.4.26.3.0.1.89","A1","mhl",20000,4,1,0.1,0.753641661386456,-0.268263986594678,0.466545341652668
"clog_mhl1.A1.4.26.3.0.1.90","A1","mhl",20000,4,1,0.1,0.767395590773929,-0.310154928303823,0.434608975055544
"clog_mhl1.A1.4.26.3.0.1.91","A1","mhl",20000,4,1,0.1,0.624085182977075,-0.117783035112988,0.731749689983091
"clog_mhl1.A1.4.26.3.0.1.92","A1","mhl",20000,4,1,0.1,0.378810361841698,0.0571584138364919,0.865790472159146
"clog_mhl1.A1.4.26.3.0.1.93","A1","mhl",20000,4,1,0.1,0.753641661386456,-0.125163142122991,0.723846518611427
"clog_mhl1.A1.4.26.3.0.1.94","A1","mhl",20000,4,1,0.1,0.704993056418327,-0.162518929497775,0.622256655764157
"clog_mhl1.A1.4.26.3.0.1.95","A1","mhl",20000,4,1,0.1,0.875091279082026,-0.382992252255728,0.252710955234891
"clog_mhl1.A1.4.26.3.0.1.96","A1","mhl",20000,4,1,0.1,0.693955059955372,-0.125163142122992,0.723846518611427
"clog_mhl1.A1.4.26.3.0.1.97","A1","mhl",20000,4,1,0.1,0.567113812503689,-0.0606246218112159,0.861825381138158
"clog_mhl1.A1.4.26.3.0.1.98","A1","mhl",20000,4,1,0.1,0.567113812503689,-0.0606246218112159,0.861825381138158
"clog_mhl1.A1.4.26.3.0.1.99","A1","mhl",20000,4,1,0.1,0.941667767609488,-0.693147178402484,0.109431229368133
"clog_mhl1.A1.4.26.3.0.1.100","A1","mhl",20000,4,1,0.1,0.767395590773929,-0.287682072451775,0.45125253734309
"clog_mhl1.A1.4.26.3.0.5.1","A1","mhl",20000,4,1,0.5,0.115069670221708,0.227783930870712,0.265077671976114
"clog_mhl1.A1.4.26.3.0.5.2","A1","mhl",20000,4,1,0.5,0.5,0,1
"clog_mhl1.A1.4.26.3.0.5.3","A1","mhl",20000,4,1,0.5,0.289257360753972,0.0784716154097517,0.69213644290136
"clog_mhl1.A1.4.26.3.0.5.4","A1","mhl",20000,4,1,0.5,0.0697047031835718,0.314493329902417,0.104886106808418
"clog_mhl1.A1.4.26.3.0.5.5","A1","mhl",20000,4,1,0.5,0.583485553140239,-0.0400053346134145,0.84149101123672
"clog_mhl1.A1.4.26.3.0.5.6","A1","mhl",20000,4,1,0.5,0.617343469013929,-0.0870113769242422,0.676753527081613
"clog_mhl1.A1.4.26.3.0.5.7","A1","mhl",20000,4,1,0.5,0.272226988637351,0.0755075524838974,0.697703717680683
"clog_mhl1.A1.4.26.3.0.5.8","A1","mhl",20000,4,1,0.5,0.612081162891035,-0.0741079721324495,0.700376622134103
"clog_mhl1.A1.4.26.3.0.5.9","A1","mhl",20000,4,1,0.5,0.899890532377883,-0.264151575041585,0.192657291537873
"clog_mhl1.A1.4.26.3.0.5.10","A1","mhl",20000,4,1,0.5,0.580871756807087,-0.0487901641682903,0.82521612378749
"clog_mhl1.A1.4.26.3.0.5.11","A1","mhl",20000,4,1,0.5,0.5,0,1
"clog_mhl1.A1.4.26.3.0.5.12","A1","mhl",20000,4,1,0.5,0.461128929826031,-0.0202027073175175,0.919945737666979
"clog_mhl1.A1.4.26.3.0.5.13","A1","mhl",20000,4,1,0.5,0.214145927722447,0.191055236762709,0.38345642579611
"clog_mhl1.A1.4.26.3.0.5.14","A1","mhl",20000,4,1,0.5,0.272226988637351,0.0889474859402269,0.673391427919405
"clog_mhl1.A1.4.26.3.0.5.15","A1","mhl",20000,4,1,0.5,0.375242709671227,0.0210534091978292,0.918283664932982
"clog_mhl1.A1.4.26.3.0.5.16","A1","mhl",20000,4,1,0.5,0.249293226650314,0.141650517063027,0.482093988851059
"clog_mhl1.A1.4.26.3.0.5.17","A1","mhl",20000,4,1,0.5,0.0440407558310951,0.299242894852848,0.137014434228506
"clog_mhl1.A1.4.26.3.0.5.18","A1","mhl",20000,4,1,0.5,0.163399783834483,0.209091797858559,0.308315072774994
"clog_mhl1.A1.4.26.3.0.5.19","A1","mhl",20000,4,1,0.5,0.620880268192544,-0.0706175671987746,0.744932777847283
"clog_mhl1.A1.4.26.3.0.5.20","A1","mhl",20000,4,1,0.5,0.272226988637351,0.157628944203583,0.458553456259633
"clog_mhl1.A1.4.26.3.0.5.21","A1","mhl",20000,4,1,0.5,0.384848971890645,0.107630663903014,0.604300825371074
"clog_mhl1.A1.4.26.3.0.5.22","A1","mhl",20000,4,1,0.5,0.792891910878737,-0.157185583522412,0.428767105464635
"clog_mhl1.A1.4.26.3.0.5.23","A1","mhl",20000,4,1,0.5,0.423694829843357,0.0425596144183574,0.83658104106505
"clog_mhl1.A1.4.26.3.0.5.24","A1","mhl",20000,4,1,0.5,0.0565700040760032,0.35937400090775,0.0934434907066465
"clog_mhl1.A1.4.26.3.0.5.25","A1","mhl",20000,4,1,0.5,0.0786496035251426,0.300104592450328,0.15026808003323
"clog_mhl1.A1.4.26.3.0.5.26","A1","mhl",20000,4,1,0.5,0.613077019752785,-0.0918075491579558,0.632120053530745
"clog_mhl1.A1.4.26.3.0.5.27","A1","mhl",20000,4,1,0.5,0.756950270131911,-0.170625517030763,0.409861765117834
"clog_mhl1.A1.4.26.3.0.5.28","A1","mhl",20000,4,1,0.5,0.618487699723502,-0.0606246218112159,0.763059800873434
"clog_mhl1.A1.4.26.3.0.5.29","A1","mhl",20000,4,1,0.5,0.653969254532031,-0.0800427076370706,0.689235152099447
"clog_mhl1.A1.4.26.3.0.5.30","A1","mhl",20000,4,1,0.5,0.79535309132328,-0.182321556793954,0.34102432348075
"clog_mhl1.A1.4.26.3.0.5.31","A1","mhl",20000,4,1,0.5,0.182856148140757,0.194156014440958,0.351443885743084
"clog_mhl1.A1.4.26.3.0.5.32","A1","mhl",20000,4,1,0.5,0.984507974950772,-0.441832752275935,0.0386137353249037
