"","algo","approach","n","n.cova","event.prob","ttm.prob","seed","clog_coef","clog_pval","clog_lower","clog_upper"
"65","A1","no_match",10000,1,10,0.1,5,-0.0524045216455679,0.894852086813567,-0.829533923054242,0.724724879763106
"66","A1","no_match",10000,1,10,0.1,6,0.613400367663061,0.201787486722948,-0.32844508180818,1.5552458171343
"67","A2","no_match",20000,1,1,0.1,4,0.160148597349774,0.682382884579585,-0.606896905298545,0.927194099998092
"68","A2","no_match",20000,1,1,0.1,5,-0.277818456836534,0.549397176965787,-1.18736781031179,0.631730896638717
"69","A2","no_match",20000,1,1,0.1,6,-0.132813781951481,0.768564247939433,-1.01746012383533,0.751832559932371
"70","A2","no_match",10000,1,10,0.1,4,-0.144158413098199,0.73827947650523,-0.989766624223131,0.701449798026734
"71","A2","no_match",10000,1,10,0.1,5,-0.228369898595361,0.554504657197291,-0.985694701900777,0.528954904710055
"72","A2","no_match",10000,1,10,0.1,6,-0.189544970992571,0.625346075740337,-0.950369624236128,0.571279682250986
"73","A1","exact",20000,1,1,0.1,1,-0.441832752275935,0.301070803419657,-1.27922075888834,0.395555254336469
"74","A1","exact",20000,1,1,0.1,2,0.0689928714740538,0.852712563991488,-0.659352630658397,0.797338373606505
"75","A1","exact",20000,1,1,0.1,3,0.200670695462151,0.655262030315415,-0.680267603744391,1.08160899466869
"76","A1","exact",10000,1,10,0.1,1,-0.0571584138364919,0.865790472159146,-0.720017784178793,0.605700956505809
"77","A1","exact",10000,1,10,0.1,2,-0.0800427076370706,0.841522329381646,-0.864656243558651,0.70457082828451
"78","A1","exact",10000,1,10,0.1,3,0.22314355131421,0.638049326627154,-0.706548997142632,1.15283609977105
"79","A2","exact",20000,1,1,0.1,1,0.510825623739935,0.322560618687519,-0.501295425762097,1.52294667324197
"80","A2","exact",20000,1,1,0.1,2,0.241162056816888,0.549474018091027,-0.548529936885642,1.03085405051942
"81","A2","exact",20000,1,1,0.1,3,0,1,-0.768761123316062,0.768761123316062
"82","A2","exact",10000,1,10,0.1,1,0.064538521129486,0.857486911736323,-0.639867917658658,0.76894495991763
"83","A2","exact",10000,1,10,0.1,2,0.200670695462151,0.655262030315415,-0.680267603744391,1.08160899466869
"84","A2","exact",10000,1,10,0.1,3,0,1,-0.835731451070272,0.835731451070272
"85","A1","exact",20000,1,1,0.1,4,-0.133531392624523,0.715203053361471,-0.850804765932949,0.583741980683903
"86","A1","exact",20000,1,1,0.1,5,-0.200670695462151,0.655262030315414,-1.08160899466869,0.68026760374439
"87","A1","exact",20000,1,1,0.1,6,0.22314355131421,0.638049326627154,-0.706548997142632,1.15283609977105
"88","A1","exact",10000,1,10,0.1,4,0.182321556793955,0.670245265976437,-0.65688488411352,1.02152799770143
"89","A1","exact",10000,1,10,0.1,5,0.336472236621157,0.416414364181268,-0.47502994934834,1.14797442259065
"90","A1","exact",10000,1,10,0.1,6,0.485507815769315,0.279943419654729,-0.39521869396317,1.3662343255018
"91","A2","exact",20000,1,1,0.1,4,0.22314355131421,0.564510978132912,-0.535947235814786,0.982234338443206
"92","A2","exact",20000,1,1,0.1,5,-0.441832752275935,0.301070803419657,-1.27922075888834,0.395555254336469
"93","A2","exact",20000,1,1,0.1,6,-0.31845373111851,0.493124620479832,-1.22917096590699,0.592263503669969
"94","A2","exact",10000,1,10,0.1,4,0,1,-0.876522540576581,0.876522540576581
"95","A2","exact",10000,1,10,0.1,5,-0.325422400434594,0.371281131359037,-1.03880253142265,0.387957730553461
"96","A2","exact",10000,1,10,0.1,6,0.167054084663166,0.683439627231701,-0.635890721357208,0.969998890683541
"97","A1","exact",20000,1,1,0.1,7,0,1,-0.800151946059218,0.800151946059218
"98","A1","exact",20000,1,1,0.1,8,0.22314355131421,0.564510978132912,-0.535947235814786,0.982234338443206
"99","A1","exact",20000,1,1,0.1,9,0.31845373111851,0.493124620479832,-0.592263503669969,1.22917096590699
"100","A1","exact",10000,1,10,0.1,7,0.635988766092701,0.122880296063644,-0.171969725200068,1.44394725738547
"101","A1","exact",10000,1,10,0.1,8,0.492476485082534,0.198155699103266,-0.257615448002598,1.24256841816767
"102","A1","exact",10000,1,10,0.1,9,-0.826678573184468,0.0681159235632318,-1.71486268012464,0.0615055337557061
"103","A2","exact",20000,1,1,0.1,7,0.367724780125111,0.396428580594401,-0.482172619692045,1.21762217994227
"104","A2","exact",20000,1,1,0.1,8,0,1,-0.715677657486863,0.715677657486863
