"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","seed","mh_pval","clog_coef","clog_pval"
"92","matching","A2","mhl",20000,4,1,0.5,2,0.543186669468571,-0.0235304974101873,0.913628645877478
"93","matching","A2","mhl",10000,4,5,0.1,2,0.783616209666108,-0.310154928303823,0.434608975055544
"94","matching","A2","mhl",10000,4,5,0.5,2,0.577012740890359,-0.0377403279826578,0.845983544430017
"95","matching","A2","mhl",10000,4,10,0.1,2,0.5,0,1
"96","matching","A2","mhl",10000,4,10,0.5,2,0.618487699723502,-0.0606246218112159,0.763059800873434
"97","matching","A2","mhl",20000,10,1,0.1,2,0.232604409226071,0.268263986594678,0.466545341652668
"98","matching","A2","mhl",20000,10,1,0.5,2,0.233960403665869,0.150822889734584,0.468342435155821
"99","matching","A2","mhl",10000,10,5,0.1,2,0.792891910878737,-0.336472236621157,0.416414364181268
"100","matching","A2","mhl",10000,10,5,0.5,2,0.623423817617043,-0.0659579677823826,0.753195649717883
"101","matching","A2","mhl",10000,10,10,0.1,2,0.889664319040077,-0.510825623739934,0.22569259553875
"102","matching","A2","mhl",10000,10,10,0.5,2,0.942074251237035,-0.332705753825689,0.117536436021751
"103","matching","A2","mhl",20000,20,1,0.1,2,0.5,0,1
"104","matching","A2","mhl",20000,20,1,0.5,2,0.894548536971695,-0.26236426446749,0.212212240508293
"105","matching","A2","mhl",10000,20,5,0.1,2,0.0898562474394999,0.619039207981312,0.186682897588507
"106","matching","A2","mhl",10000,20,5,0.5,2,0.261215642480782,0.136575535005751,0.522754420227275
"107","matching","A2","mhl",10000,20,10,0.1,2,0.265807288440806,0.262364264467489,0.532790006545515
"108","matching","A2","mhl",10000,20,10,0.5,2,0.251167477180251,0.150282203049338,0.502736967075145
"109","counter-matching","A1","mhl",20000,4,1,0.1,2,0.167961906575868,0.374693449441138,0.338746749373202
"110","counter-matching","A1","mhl",20000,4,1,0.5,2,0.592332702822386,-0.0363676441707286,0.815344586943124
"111","counter-matching","A1","mhl",10000,4,5,0.1,2,0.935904912827446,-0.526093095856725,0.132613682740952
"112","counter-matching","A1","mhl",10000,4,5,0.5,2,0.562430709959798,-0.0246926125903619,0.875141726134259
"113","counter-matching","A1","mhl",10000,4,10,0.1,2,0.638163195084118,-0.125163142122991,0.723846518611427
"114","counter-matching","A1","mhl",10000,4,10,0.5,2,0.375914817022925,0.050010420573304,0.751854643591706
"115","counter-matching","A1","mhl",20000,10,1,0.1,2,0.0585925435990691,0.559615787836945,0.121998181816038
"116","counter-matching","A1","mhl",20000,10,1,0.5,2,0.0971829554015545,0.211309093667207,0.195196059141034
"117","counter-matching","A1","mhl",10000,10,5,0.1,2,0.734192711559194,-0.26236426446749,0.532790006545514
"118","counter-matching","A1","mhl",10000,10,5,0.5,2,0.436390061896956,0.0256424306133254,0.872783579516308
"119","counter-matching","A1","mhl",10000,10,10,0.1,2,0.803115682678504,-0.367724780125111,0.396428580594401
"120","counter-matching","A1","mhl",10000,10,10,0.5,2,0.868834162295821,-0.179971379449001,0.262975597080491
"121","counter-matching","A1","mhl",20000,20,1,0.1,2,0.58258633540738,-0.0870113769242422,0.834878672501697
"122","counter-matching","A1","mhl",20000,20,1,0.5,2,0.962604311206528,-0.320167527596243,0.0760376402426402
"123","counter-matching","A1","mhl",10000,20,5,0.1,2,0.420740290560897,0.0800427076370704,0.841522329381647
"124","counter-matching","A1","mhl",10000,20,5,0.5,2,0.365800294479951,0.0588405000186994,0.731637809732154
"125","counter-matching","A1","mhl",10000,20,10,0.1,2,0.420740290560897,0.0800427076370704,0.841522329381647
"126","counter-matching","A1","mhl",10000,20,10,0.5,2,0.129819885690643,0.19611487892629,0.260403252081769
"127","counter-matching","A2","mhl",20000,4,1,0.1,2,0.0807566592337711,0.5753641447562,0.167317721640681
"128","counter-matching","A2","mhl",20000,4,1,0.5,2,0.705979227572202,-0.083881483930096,0.588150944880438
"129","counter-matching","A2","mhl",10000,4,5,0.1,2,0.956826089508169,-0.606135803256891,0.0912173483318073
"130","counter-matching","A2","mhl",10000,4,5,0.5,2,0.59288714805882,-0.0368139731225573,0.814236002417912
"131","counter-matching","A2","mhl",10000,4,10,0.1,2,0.753641661386456,-0.23638877806423,0.493722788797258
"132","counter-matching","A2","mhl",10000,4,10,0.5,2,0.436390061896956,0.0256424306133249,0.87278357951631
"133","counter-matching","A2","mhl",20000,10,1,0.1,2,0.0585925435990691,0.559615787836945,0.121998181816038
"134","counter-matching","A2","mhl",20000,10,1,0.5,2,0.0721460277200526,0.23795863709935,0.145239576937348
"135","counter-matching","A2","mhl",10000,10,5,0.1,2,0.792891910878737,-0.336472236621157,0.416414364181268
"136","counter-matching","A2","mhl",10000,10,5,0.5,2,0.40538761022255,0.0382212128199913,0.810786519536891
"137","counter-matching","A2","mhl",10000,10,10,0.1,2,0.803115682678504,-0.367724780125111,0.396428580594401
"138","counter-matching","A2","mhl",10000,10,10,0.5,2,0.833224872944048,-0.156160730755282,0.334041324678554
"139","counter-matching","A2","mhl",20000,20,1,0.1,2,0.5,0,1
"140","counter-matching","A2","mhl",20000,20,1,0.5,2,0.962604311206528,-0.320167527596243,0.0760376402426402
"141","counter-matching","A2","mhl",10000,20,5,0.1,2,0.420740290560897,0.0800427076370704,0.841522329381647
"142","counter-matching","A2","mhl",10000,20,5,0.5,2,0.27343263447792,0.103796793681643,0.547045201764064
"143","counter-matching","A2","mhl",10000,20,10,0.1,2,0.420740290560897,0.0800427076370704,0.841522329381647
"144","counter-matching","A2","mhl",10000,20,10,0.5,2,0.0834567645541064,0.23995066963059,0.167932017767882
"145","matching","A1","mhl",20000,4,1,0.1,3,0.652556698813763,-0.154150679827258,0.69517334211627
"146","matching","A1","mhl",20000,4,1,0.5,3,0.309411696627162,0.0990909024819118,0.618966861485051
"147","matching","A1","mhl",10000,4,5,0.1,3,0.647271506944363,-0.143100843640673,0.70569643359096
"148","matching","A1","mhl",10000,4,5,0.5,3,0.991802464075404,-0.489548225304722,0.0174919446189728
"149","matching","A1","mhl",10000,4,10,0.1,3,0.767395590773929,-0.268263986594677,0.466545341652669
"150","matching","A1","mhl",10000,4,10,0.5,3,0.999947910102934,-0.814508037564213,0.000159742285225175
"151","matching","A1","mhl",20000,10,1,0.1,3,0.691462461274013,-0.251314428280905,0.618000180063476
"152","matching","A1","mhl",20000,10,1,0.5,3,0.797875752630264,-0.174353387144778,0.404843516563163
"153","matching","A1","mhl",10000,10,5,0.1,3,0.5,0,1
"154","matching","A1","mhl",10000,10,5,0.5,3,0.904317063607141,-0.264151575041586,0.192657291537873
"155","matching","A1","mhl",10000,10,10,0.1,3,0.672639576990711,-0.200670695462151,0.655262030315414
"156","matching","A1","mhl",10000,10,10,0.5,3,0.895579258422584,-0.244196960512042,0.209972802865788
"157","matching","A1","mhl",20000,20,1,0.1,3,0.969715569898671,-0.826678573184468,0.0681159235632315
"158","matching","A1","mhl",20000,20,1,0.5,3,0.5,0,1
"159","matching","A1","mhl",10000,20,5,0.1,3,0.889664319040077,-0.510825623739934,0.22569259553875
"160","matching","A1","mhl",10000,20,5,0.5,3,0.376576182382957,0.0659579677823827,0.753195649717882
"161","matching","A1","mhl",10000,20,10,0.1,3,0.899587438652427,-0.559615787836945,0.20671013378133
"162","matching","A1","mhl",10000,20,10,0.5,3,0.541294369903979,-0.0215062052209594,0.917412846086169
"163","matching","A2","mhl",20000,4,1,0.1,3,0.579259709439103,-0.0800427076370707,0.841522329381646
"164","matching","A2","mhl",20000,4,1,0.5,3,0.309411696627162,0.0990909024819118,0.618966861485051
"165","matching","A2","mhl",10000,4,5,0.1,3,0.647271506944363,-0.143100843640673,0.70569643359096
"166","matching","A2","mhl",10000,4,5,0.5,3,0.996390837593077,-0.547965170642931,0.00797136666260118
"167","matching","A2","mhl",10000,4,10,0.1,3,0.815414291833654,-0.325422400434594,0.371281131359037
"168","matching","A2","mhl",10000,4,10,0.5,3,0.999977448461387,-0.86148249537916,7.61591530990876e-05
"169","matching","A2","mhl",20000,10,1,0.1,3,0.766572864588637,-0.356674943938601,0.469210446475963
"170","matching","A2","mhl",20000,10,1,0.5,3,0.851426734825765,-0.218253566020018,0.298105031276704
"171","matching","A2","mhl",10000,10,5,0.1,3,0.658454300845196,-0.167054084663166,0.683439627231701
"172","matching","A2","mhl",10000,10,5,0.5,3,0.884930329778292,-0.241162056816887,0.231268761487576
"173","matching","A2","mhl",10000,10,10,0.1,3,0.743654619869038,-0.287682072451775,0.514142121200266
"174","matching","A2","mhl",10000,10,10,0.5,3,0.93991463485316,-0.304211374402979,0.121602787798918
"175","matching","A2","mhl",20000,20,1,0.1,3,0.969715569898671,-0.826678573184468,0.0681159235632315
"176","matching","A2","mhl",20000,20,1,0.5,3,0.455764118954689,0.0246926125903619,0.911530476279586
"177","matching","A2","mhl",10000,20,5,0.1,3,0.851426734825765,-0.441832752275935,0.301070803419657
"178","matching","A2","mhl",10000,20,5,0.5,3,0.334907678799708,0.090971778116456,0.669922457618795
"179","matching","A2","mhl",10000,20,10,0.1,3,0.862383237962583,-0.485507815769315,0.279943419654728
"180","matching","A2","mhl",10000,20,10,0.5,3,0.623423817617043,-0.0659579677823826,0.753195649717883
"181","counter-matching","A1","mhl",20000,4,1,0.1,3,0.704993056418327,-0.194156014440958,0.590597399111663
"182","counter-matching","A1","mhl",20000,4,1,0.5,3,0.437569290040202,0.024692612590362,0.875141726134258
"183","counter-matching","A1","mhl",10000,4,5,0.1,3,0.571268779020379,-0.064538521129486,0.857486911736323
"184","counter-matching","A1","mhl",10000,4,5,0.5,3,0.959960340126891,-0.280301965154155,0.0810703063892363
"185","counter-matching","A1","mhl",10000,4,10,0.1,3,0.571268779020379,-0.064538521129486,0.857486911736323
"186","counter-matching","A1","mhl",10000,4,10,0.5,3,0.980083690377629,-0.327906873762252,0.0407268170450036
"187","counter-matching","A1","mhl",20000,10,1,0.1,3,0.851426734825765,-0.441832752275935,0.301070803419656
"188","counter-matching","A1","mhl",20000,10,1,0.5,3,0.841344746068543,-0.167054084663166,0.317873101240172
"189","counter-matching","A1","mhl",10000,10,5,0.1,3,0.148573265174235,0.441832752275934,0.301070803419657
